name,url,state,court_type,category,notes
Central District - Holiday Schedule,https://www.cacd.uscourts.gov/calendars/court-holidays,CA,federal,all,Group: CA USDC
Northern District - Home Page (News),https://cand.uscourts.gov/,CA,federal,all,Group: CA USDC
Northern District - Holiday Schedule,https://cand.uscourts.gov/about-court/locations-hours/court-holidays,CA,federal,all,Group: CA USDC
Northern District - Local Rules,https://cand.uscourts.gov/rules-forms-fees/local-rules,CA,federal,all,Group: CA USDC
Bankruptcy Central District - Home Page (News),https://www.cacb.uscourts.gov/,CA,bankruptcy,all,Group: CA USDC
Bankruptcy Central District - Local Rules,https://www.cacb.uscourts.gov/local-rules,CA,bankruptcy,all,Group: CA USDC
Bankruptcy Central District - General Orders,https://www.cacb.uscourts.gov/general-orders,CA,bankruptcy,all,Group: CA USDC
Bankruptcy Southern District - Home Page (News),https://www.casb.uscourts.gov/,CA,bankruptcy,all,Group: CA USDC
Bankruptcy Southern District - Local Rules,https://www.casb.uscourts.gov/rules_procedures,CA,bankruptcy,all,Group: CA USDC
Bankruptcy Southern District - General Orders,https://www.casb.uscourts.gov/general-orders,CA,bankruptcy,all,Group: CA USDC
Bankruptcy Northern District - Home Page (News),https://www.canb.uscourts.gov/,CA,bankruptcy,all,Group: CA USDC
Bankruptcy Northern District - Local Rules,https://www.canb.uscourts.gov/procedures/local-rules,CA,bankruptcy,all,Group: CA USDC
Bankruptcy Eastern District - Home Page (News),https://www.caeb.uscourts.gov/,CA,bankruptcy,all,Group: CA USDC
Bankruptcy Eastern District - Local Rules,https://www.caeb.uscourts.gov/LocalRulesAndGeneralOrders,CA,bankruptcy,all,Group: CA USDC
Cochise - Superior Court Local Rules,https://govt.westlaw.com/azrules/Browse/Home/Arizona/ArizonaCourtRules/ArizonaStatutesCourtRules?guid=N3BCB8250715611DAA16E8D4AC7636430&originationContext=documenttoc&transitionType=Default&contextData=(sc.Default),AZ,state,all,Group: AZ Westlaw
Coconino - Superior Court Local Rules,https://govt.westlaw.com/azrules/Browse/Home/Arizona/ArizonaCourtRules/ArizonaStatutesCourtRules?guid=N422AAC70715611DAA16E8D4AC7636430&originationContext=documenttoc&transitionType=Default&contextData=(sc.Default),AZ,state,all,Group: AZ Westlaw
Pima - Superior Court Local Rules,https://govt.westlaw.com/azrules/Browse/Home/Arizona/ArizonaCourtRules/ArizonaStatutesCourtRules?guid=N0E4EC4C096CF11E8A153B5BE86F2C508&originationContext=documenttoc&transitionType=Default&contextData=(sc.Default),AZ,state,all,Group: AZ Westlaw
Pinal - Superior Court Local Rules,https://govt.westlaw.com/azrules/Browse/Home/Arizona/ArizonaCourtRules/ArizonaStatutesCourtRules?guid=N85410D10715611DAA16E8D4AC7636430&originationContext=documenttoc&transitionType=Default&contextData=(sc.Default),AZ,state,all,Group: AZ Westlaw
Yavapai - Superior Court Local Rules,https://govt.westlaw.com/azrules/Browse/Home/Arizona/ArizonaCourtRules/ArizonaStatutesCourtRules?guid=NA0F778F0715611DAA16E8D4AC7636430&originationContext=documenttoc&transitionType=Default&contextData=(sc.Default),AZ,state,all,Group: AZ Westlaw
Gila - Superior Court Local Rules,https://govt.westlaw.com/azrules/Browse/Home/Arizona/ArizonaCourtRules/ArizonaStatutesCourtRules?guid=N45C622B0715611DAA16E8D4AC7636430&originationContext=documenttoc&transitionType=Default&contextData=(sc.Default),AZ,state,all,Group: AZ Westlaw
Rules of Civil Procedure,https://govt.westlaw.com/azrules/index?__lrTS=20260521221355168&transitionType=Default&contextData=(sc.Default),AZ,state,all,Group: AZ Westlaw
Rules of Family Law Procedure,https://govt.westlaw.com/azrules/Browse/Home/Arizona/ArizonaCourtRules/ArizonaStatutesCourtRules?guid=N1A651810715611DAA16E8D4AC7636430&transitionType=CategoryPageItem&contextData=(sc.Default),AZ,state,all,Group: AZ Westlaw
